2010/1/1,2010/4/1,2010/7/1,2010/10/1,2011/1/1,2011/4/1,2011/7/1,2011/10/1,2012/1/1,2012/4/1,2012/7/1,2012/10/1,2013/1/1,2013/4/1,2013/7/1,2013/10/1,2014/1/1,2014/4/1,2014/7/1,2014/10/1,2015/1/1,2015/4/1,2015/7/1,2015/10/1,2016/1/1,2016/4/1,2016/7/1,2016/10/1,2017/1/1,2017/4/1,2017/7/1,2017/10/1,2018/1/1
XLNX,XLNX,XL,XL,XL,XL,XL,XL,XLNX,XLNX,XLNX,XLNX,XLNX,XLNX,XOM,XOM,XOM,XOM,XLNX,XL,XL,XL,XL,WYNN,XEC,XEC,WYNN,WYNN,WYNN,WYNN,WYNN,WYNN,WYNN
XOM,XOM,XLNX,XLNX,XLNX,XLNX,XLNX,XLNX,XOM,XOM,XOM,XOM,XOM,XOM,XRAY,XRAY,XRAY,XRAY,XOM,XLNX,XLNX,XLNX,XLNX,XEC,XEL,XEL,XEC,XEC,XEC,XEC,XEC,XEC,XEC
XRAY,XRAY,XOM,XOM,XOM,XOM,XOM,XOM,XRAY,XRAY,XRAY,XRAY,XRAY,XRAY,XRX,XRX,XRX,XRX,XRAY,XOM,XOM,XOM,XOM,XEL,XL,XL,XEL,XEL,XEL,XEL,XEL,XEL,XEL
XRX,XRX,XRAY,XRAY,XRAY,XRAY,XRAY,XRAY,XRX,XRX,XRX,XRX,XRX,XRX,XYL,XYL,XYL,XYL,XRX,XRAY,XRAY,XRAY,XRAY,XL,XLNX,XLNX,XL,XL,XL,XL,XL,XL,XL
XTO,XTO,XRX,XRX,XRX,XRX,XRX,XRX,XYL,XYL,XYL,XYL,XYL,XYL,YUM,YUM,YUM,YUM,XYL,XRX,XRX,XRX,XRX,XLNX,XOM,XOM,XLNX,XLNX,XLNX,XLNX,XLNX,XLNX,XLNX
YUM,YUM,YUM,YUM,YUM,YUM,YUM,YUM,YUM,YUM,YUM,YUM,YUM,YUM,ZBH,ZBH,ZBH,ZBH,YUM,XYL,XYL,XYL,XYL,XOM,XRAY,XRAY,XOM,XOM,XOM,XOM,XOM,XOM,XOM
ZBH,ZBH,ZBH,ZBH,ZBH,ZBH,ZBH,ZBH,ZBH,ZBH,ZBH,ZBH,ZBH,ZBH,ZION,ZION,ZION,ZION,ZBH,YUM,YUM,YUM,YUM,XRAY,XRX,XRX,XRAY,XRAY,XRAY,XRAY,XRAY,XRAY,XRAY
ZION,ZION,ZION,ZION,ZION,ZION,ZION,ZION,ZION,ZION,ZION,ZION,ZION,ZION,ZTS,ZTS,ZTS,ZTS,ZION,ZBH,ZBH,ZBH,ZBH,XRX,XYL,XYL,XRX,XRX,XRX,XRX,XRX,XRX,XRX
,,,,,,,,,,,,,,,,,,ZTS,ZION,ZION,ZION,ZION,XYL,YUM,YUM,XYL,XYL,XYL,XYL,XYL,XYL,XYL
,,,,,,,,,,,,,,,,,,,ZTS,ZTS,ZTS,ZTS,YUM,ZBH,ZBH,YUM,YUM,YUM,YUM,YUM,YUM,YUM
,,,,,,,,,,,,,,,,,,,,,,,ZBH,ZION,ZION,ZBH,ZBH,ZBH,ZBH,ZBH,ZBH,ZBH
,,,,,,,,,,,,,,,,,,,,,,,ZION,ZTS,ZTS,ZION,ZION,ZION,ZION,ZION,ZION,ZION
,,,,,,,,,,,,,,,,,,,,,,,ZTS,,,ZTS,ZTS,ZTS,ZTS,ZTS,ZTS,ZTS
