2010/1/1,2010/4/1,2010/7/1,2010/10/1,2011/1/1,2011/4/1,2011/7/1,2011/10/1,2012/1/1,2012/4/1,2012/7/1,2012/10/1,2013/1/1,2013/4/1,2013/7/1,2013/10/1,2014/1/1,2014/4/1,2014/7/1,2014/10/1,2015/1/1,2015/4/1,2015/7/1,2015/10/1,2016/1/1,2016/4/1,2016/7/1,2016/10/1,2017/1/1,2017/4/1,2017/7/1,2017/10/1,2018/1/1
NYX,NYX,NYT,NWL,NTRS,NTAP,NTAP,NTAP,NUE,NVDA,NVDA,NWL,NVDA,NWL,NYX,OI,NWSA,NWSA,NWSA,NWL,NWSA,NWSA,NWL,NWS,O,NWSA,NWS,NWS,NWL,NWL,NTRS,NTAP,NTAP
ODP,ODP,NYX,NYT,NUE,NTRS,NTRS,NTRS,NVDA,NWL,NWL,NYX,NWL,NYX,OI,OKE,OI,OI,OI,NWSA,OI,OI,NWSA,NWSA,OI,O,NWSA,NWSA,NWS,NWS,NUE,NTRS,NTRS
OI,OI,ODP,NYX,NVDA,NUE,NUE,NUE,NWL,NYX,NYX,OI,NYX,OI,OKE,OMC,OKE,OKE,OKE,OI,OKE,OKE,O,O,OKE,OI,O,O,NWSA,NWSA,NVDA,NUE,NUE
OMC,OKE,OI,ODP,NWL,NVDA,NVDA,NVDA,NYX,OI,OI,OKE,OI,OKE,OMC,ORCL,OMC,OMC,OMC,OKE,OMC,OMC,OI,OI,OMC,OKE,OI,OI,O,O,NWL,NVDA,NVDA
ORCL,OMC,OKE,OI,NYX,NWL,NWL,NWL,OI,OKE,OKE,OMC,OKE,OMC,ORCL,ORLY,ORCL,ORCL,ORCL,OMC,ORCL,ORCL,OKE,OKE,ORCL,OMC,OKE,OKE,OKE,OKE,NWS,NWL,NWL
ORLY,ORCL,OMC,OKE,OI,NYX,NYX,NYX,OKE,OMC,OMC,ORCL,OMC,ORCL,ORLY,OXY,ORLY,ORLY,ORLY,ORCL,ORLY,ORLY,OMC,OMC,ORLY,ORCL,OMC,OMC,OMC,OMC,NWSA,NWS,NWS
OXY,ORLY,ORCL,OMC,OKE,OI,OI,OI,OMC,ORCL,ORCL,ORLY,ORCL,ORLY,OXY,PAYX,OXY,OXY,OXY,ORLY,OXY,OXY,ORCL,ORCL,OXY,ORLY,ORCL,ORCL,ORCL,ORCL,O,NWSA,NWSA
PAYX,OXY,ORLY,ORCL,OMC,OKE,OKE,OKE,ORCL,ORLY,ORLY,OXY,ORLY,OXY,PAYX,PBCT,PAYX,PAYX,PAYX,OXY,PAYX,PAYX,ORLY,ORLY,PAYX,OXY,ORLY,ORLY,ORLY,ORLY,OKE,O,O
PBCT,PAYX,OXY,ORLY,ORCL,OMC,OMC,OMC,ORLY,OXY,OXY,PAYX,OXY,PAYX,PBCT,PBI,PBCT,PBCT,PBCT,PAYX,PBCT,PBCT,OXY,OXY,PBCT,PAYX,OXY,OXY,OXY,OXY,OMC,OKE,OKE
PBG,PBCT,PAYX,OXY,ORLY,ORCL,ORCL,ORCL,OXY,PAYX,PAYX,PBCT,PAYX,PBCT,PBI,PCAR,PBI,PBI,PBI,PBCT,PBI,PBI,PAYX,PAYX,PBI,PBCT,PAYX,PAYX,PAYX,PAYX,ORCL,OMC,OMC
PBI,PBI,PBCT,PAYX,OXY,ORLY,ORLY,ORLY,PAYX,PBCT,PBCT,PBI,PBCT,PBI,PCAR,PCG,PCAR,PCAR,PCAR,PBI,PCAR,PCAR,PBCT,PBCT,PCAR,PBI,PBCT,PBCT,PBCT,PBCT,ORLY,ORCL,ORCL
PCAR,PCAR,PBI,PBCT,PAYX,OXY,OXY,OXY,PBCT,PBI,PBI,PCAR,PBI,PCAR,PCG,PCL,PCG,PCG,PCG,PCAR,PCG,PCG,PBI,PBI,PCG,PCAR,PBI,PBI,PBI,PCAR,OXY,ORLY,ORLY
PCG,PCG,PCAR,PBI,PBCT,PAYX,PAYX,PAYX,PBI,PCAR,PCAR,PCG,PCAR,PCG,PCL,PCP,PCL,PCL,PCL,PCG,PCL,PCL,PCAR,PCAR,PCL,PCG,PCAR,PCAR,PCAR,PCG,PAYX,OXY,OXY
PCL,PCL,PCG,PCAR,PBI,PBCT,PBCT,PBCT,PCAR,PCG,PCG,PCL,PCG,PCL,PCP,PDCO,PCP,PCP,PCP,PCL,PCP,PCP,PCG,PCG,PCP,PDCO,PCG,PCG,PCG,PDCO,PBCT,PAYX,PAYX
PCP,PCP,PCL,PCG,PCAR,PBI,PBI,PBI,PCG,PCL,PCL,PCP,PCL,PCP,PDCO,PEG,PDCO,PDCO,PDCO,PCP,PDCO,PDCO,PCL,PCL,PDCO,PEG,PDCO,PDCO,PDCO,PEG,PCAR,PBCT,PBCT
PDCO,PDCO,PCP,PCL,PCG,PCAR,PCAR,PCAR,PCL,PCP,PCP,PDCO,PCP,PDCO,PEG,PEP,PEG,PEG,PEG,PDCO,PEG,PEG,PCP,PCP,PEG,PEP,PEG,PEG,PEG,PEP,PCG,PCAR,PCAR
PEG,PEG,PDCO,PCP,PCL,PCG,PCG,PCG,PCP,PDCO,PDCO,PEG,PDCO,PEG,PEP,PETM,PEP,PEP,PEP,PEG,PEP,PEP,PDCO,PDCO,PEP,PFE,PEP,PEP,PEP,PFE,PDCO,PCG,PCG
PEP,PEP,PEG,PDCO,PCP,PCL,PCL,PCL,PDCO,PEG,PEG,PEP,PEG,PEP,PETM,PFE,PETM,PETM,PETM,PEP,PETM,PFE,PEG,PEG,PFE,PFG,PFE,PFE,PFE,PFG,PEG,PDCO,PDCO
PFE,PFE,PEP,PEG,PDCO,PCP,PCP,PCP,PEG,PEP,PEP,PFE,PEP,PETM,PFE,PFG,PFE,PFE,PFE,PETM,PFE,PFG,PEP,PEP,PFG,PG,PFG,PFG,PFG,PG,PEP,PEG,PEG
PFG,PFG,PFE,PEP,PEG,PDCO,PDCO,PDCO,PEP,PFE,PFE,PFG,PETM,PFE,PFG,PG,PFG,PFG,PFG,PFE,PFG,PG,PFE,PFE,PG,PGR,PG,PG,PG,PGR,PFE,PEP,PEP
PG,PG,PFG,PFE,PEP,PEG,PEG,PEG,PFE,PFG,PFG,PG,PFE,PFG,PG,PGR,PG,PG,PG,PFG,PG,PGR,PFG,PFG,PGR,PH,PGR,PGR,PGR,PH,PFG,PFE,PFE
PGR,PGR,PG,PFG,PFE,PEP,PEP,PEP,PFG,PG,PG,PGR,PFG,PG,PGR,PH,PGR,PGR,PGR,PG,PGR,PH,PG,PG,PH,PHM,PH,PH,PH,PHM,PG,PFG,PFG
PH,PH,PGR,PG,PFG,PFE,PFE,PFE,PG,PGR,PGR,PH,PG,PGR,PH,PHM,PH,PH,PH,PGR,PH,PHM,PGR,PGR,PHM,PKI,PHM,PHM,PHM,PKI,PGR,PG,PG
PHM,PHM,PH,PGR,PG,PFG,PFG,PFG,PGR,PH,PH,PHM,PGR,PH,PHM,PKI,PHM,PHM,PHM,PH,PHM,PKI,PH,PH,PKI,PLD,PKI,PKI,PKI,PLD,PH,PGR,PGR
PKI,PKI,PHM,PH,PGR,PG,PG,PG,PH,PHM,PHM,PKI,PH,PHM,PKI,PLD,PKI,PKI,PKI,PHM,PKI,PLD,PHM,PHM,PLD,PM,PLD,PLD,PLD,PM,PHM,PH,PH
PLL,PLL,PKI,PHM,PH,PGR,PGR,PGR,PHM,PKI,PKI,PLD,PHM,PKI,PLD,PLL,PLD,PLD,PLD,PKI,PLD,PLL,PKI,PKI,PM,PNC,PM,PM,PM,PNC,PKI,PHM,PHM
PM,PM,PLL,PKI,PHM,PH,PH,PH,PKI,PLD,PLD,PLL,PKI,PLD,PLL,PM,PLL,PLL,PLL,PLD,PLL,PM,PLD,PLD,PNC,PNR,PNC,PNC,PNC,PNR,PLD,PKG,PKG
PNC,PNC,PM,PLL,PKI,PHM,PHM,PHM,PLD,PLL,PLL,PM,PLD,PLL,PM,PNC,PM,PM,PM,PLL,PM,PNC,PLL,PM,PNR,PNW,PNR,PNR,PNR,PNW,PM,PKI,PKI
PNW,PNW,PNC,PM,PLL,PKI,PKI,PKI,PLL,PM,PM,PNC,PLL,PM,PNC,PNR,PNC,PNC,PNC,PM,PNC,PNR,PM,PNC,PNW,PPG,PNW,PNW,PNW,PPG,PNC,PLD,PLD
POM,POM,PNW,PNC,PM,PLL,PLD,PLD,PM,PNC,PNC,PNR,PM,PNC,PNR,PNW,PNR,PNR,PNR,PNC,PNR,PNW,PNC,PNR,POM,PPL,PPG,PPG,PPG,PPL,PNR,PM,PM
PPG,PPG,POM,PNW,PNC,PM,PLL,PLL,PNC,PNW,PNW,PNW,PNC,PNR,PNW,POM,PNW,PNW,PNW,PNR,PNW,POM,PNR,PNW,PPG,PRGO,PPL,PPL,PPL,PRGO,PNW,PNC,PNC
PPL,PPL,PPG,POM,PNW,PNC,PM,PM,PNW,POM,POM,POM,PNR,PNW,POM,PPG,POM,POM,POM,PNW,POM,PPG,PNW,POM,PPL,PRU,PRGO,PRGO,PRGO,PRU,PPG,PNR,PNR
PRU,PRU,PPL,PPG,POM,PNW,PNC,PNC,POM,PPG,PPG,PPG,PNW,POM,PPG,PPL,PPG,PPG,PPG,POM,PPG,PPL,POM,PPG,PRGO,PSA,PRU,PRU,PRU,PSA,PPL,PNW,PNW
PSA,PSA,PRU,PPL,PPG,POM,PNW,PNW,PPG,PPL,PPL,PPL,POM,PPG,PPL,PRGO,PPL,PPL,PPL,PPG,PPL,PRGO,PPG,PPL,PRU,PSX,PSA,PSA,PSA,PSX,PRGO,PPG,PPG
PTV,PTV,PSA,PRU,PPL,PPG,POM,POM,PPL,PRGO,PRGO,PRGO,PPG,PPL,PRGO,PRU,PRGO,PRGO,PRGO,PPL,PRGO,PRU,PPL,PRGO,PSA,PVH,PSX,PSX,PSX,PVH,PRU,PPL,PPL
