Date,SP500,APPL,AMZN,AMD,IBM,MSFT
2010-06-11,1091.599976,24.252317,123.029999,8.12,99.52820600000001,20.684359
2010-06-14,1089.630005,24.325981,123.83000200000001,8.28,99.566956,20.555384
2010-06-15,1115.22998,24.843534,126.839996,8.82,100.566505,21.425966
2010-06-16,1114.609985,25.566769,126.900002,8.9,101.000412,21.216387
2010-06-17,1116.040039,26.008745,125.889999,8.91,101.488579,21.256685
2010-06-18,1117.51001,26.219212,125.83000200000001,8.83,100.845451,21.313112
2010-06-21,1113.199951,25.846110999999997,122.550003,8.8,101.232864,20.918129
2010-06-22,1095.310059,26.198172,122.309998,8.58,100.186852,20.773031
2010-06-23,1092.040039,25.922642,121.449997,8.56,100.81444499999999,20.402229000000002
2010-06-24,1073.689941,25.73418,118.33000200000001,8.13,99.32674399999999,20.152336
2010-06-25,1076.76001,25.514153,121.0,8.09,98.49769599999999,19.773474
2010-06-28,1074.569946,25.667219,117.800003,8.05,99.938889,19.596134
2010-06-29,1041.23999,24.506784,108.610001,7.48,96.924774,18.790045000000003
2010-06-30,1030.709961,24.062895,109.260002,7.32,95.67729200000001,18.54821
2010-07-01,1027.369995,23.771114,110.959999,7.39,94.97216,18.66913
2010-07-02,1022.580017,23.623789000000002,109.139999,7.17,94.422028,18.757797
2010-07-06,1028.060059,23.785467,110.059998,7.04,95.66175799999999,19.201148999999997
2010-07-07,1060.27002,24.745962,113.43,7.39,98.40471600000001,19.588070000000002
2010-07-08,1070.25,24.690466,116.220001,7.37,99.156311,19.676741
2010-07-09,1077.959961,24.83684,117.260002,7.34,99.148567,19.563889
2010-07-12,1078.75,24.613934,119.510002,7.36,99.6987,20.015306
2010-07-13,1095.339966,24.088724,123.650002,7.52,101.101135,20.257132000000002
2010-07-14,1095.170044,24.177695999999997,123.300003,7.44,101.287079,20.507020999999998
2010-07-15,1096.47998,24.055246,122.059998,7.41,101.287079,20.563446
2010-07-16,1064.880005,23.906961,118.489998,7.37,99.202782,20.063667000000002
2010-07-19,1071.25,23.493676999999998,119.940002,7.44,100.566505,20.337742000000002
2010-07-20,1083.47998,24.09734,120.099998,7.6,98.056061,20.539263000000002
2010-07-21,1069.589966,24.322155,117.43,7.4,97.064217,20.249073000000003
2010-07-22,1093.670044,24.779438,120.07,7.61,98.768875,20.829454000000002
2010-07-23,1102.660034,24.867451000000003,118.870003,7.82,99.47399899999999,20.805275
2010-07-26,1115.01001,24.804317,118.400002,8.07,99.49722299999999,21.03904
2010-07-27,1113.839966,25.26351,117.129997,8.21,99.667709,21.087406
2010-07-28,1106.130005,24.965033,117.129997,7.98,99.512741,20.918129
2010-07-29,1101.530029,24.692377,116.860001,7.78,99.195053,20.982615
2010-07-30,1101.599976,24.610109,117.889999,7.49,99.489464,20.805275
2010-08-02,1125.859985,25.050171,120.07,7.65,101.318108,21.224443
2010-08-03,1120.459961,25.057827,122.41999799999999,7.51,101.01589200000001,21.087406
2010-08-04,1127.23999,25.158278,127.58000200000001,7.52,101.71328000000001,20.740786
2010-08-05,1125.810059,25.035818,127.83000200000001,7.5,102.14717900000001,20.450598
2010-08-06,1121.640015,24.8818,128.320007,7.45,101.33736400000001,20.595688
2010-08-09,1127.790039,25.040604000000002,128.830002,7.42,102.785706,20.644053
2010-08-10,1121.060059,24.81675,130.0,6.83,102.661125,20.208757000000002
2010-08-11,1089.469971,23.934704,125.889999,6.49,101.095978,20.039492000000003
2010-08-12,1083.609985,24.087772,126.559998,6.57,99.90459399999999,19.741232
2010-08-13,1079.25,23.830423,124.690002,6.49,99.569763,19.668688
2010-08-16,1079.380005,23.690756,126.07,6.62,99.49189,19.74929
2010-08-17,1092.540039,24.104992000000003,128.860001,6.63,100.021393,20.024824
2010-08-18,1094.160034,24.210226000000002,129.649994,6.57,100.753357,20.113970000000002
2010-08-19,1075.630005,23.905051999999998,127.57,6.42,100.371796,19.806017
2010-08-20,1071.689941,23.882092,127.760002,6.25,99.281654,19.635834
2010-08-23,1067.359985,23.514727,126.599998,6.14,98.479599,19.676361
2010-08-24,1051.869995,22.953173,124.529999,5.99,97.257088,19.481865
2010-08-25,1055.329956,23.236345,126.849998,6.13,97.545158,19.530485000000002
2010-08-26,1047.219971,22.986652,124.860001,5.87,95.6063,19.303576
2010-08-27,1064.589966,23.114843,126.639999,6.08,97.124718,19.392719
2010-08-30,1048.920044,23.199038,123.790001,5.78,96.089058,19.157703
2010-08-31,1049.329956,23.256432999999998,124.83000200000001,5.61,95.878807,19.019935999999998
2010-09-01,1080.290039,23.948099,132.490005,5.76,97.93450899999999,19.368408
2010-09-02,1090.099976,24.124121,135.21000700000002,5.93,97.366104,19.400824
2010-09-03,1104.51001,24.755523999999998,138.78999299999998,6.09,99.343971,19.684465
2010-09-07,1091.839966,24.663687,137.220001,5.95,98.07468399999999,19.417028
2010-09-08,1098.869995,25.152535999999998,139.139999,5.83,98.175919,19.392719
2010-09-09,1104.180054,25.166883,140.380005,5.86,98.393936,19.45755
2010-09-10,1109.550049,25.199409,142.440002,5.81,99.663185,19.327892000000002
2010-09-13,1121.900024,25.546682,145.070007,6.18,100.924667,20.348983999999998
2010-09-14,1121.099976,25.644257999999997,145.75,6.27,100.33285500000001,20.284151
2010-09-15,1125.069946,25.850899,145.449997,6.22,100.784477,20.357086
2010-09-16,1124.660034,26.458378000000003,148.130005,6.15,100.97138199999999,20.527276999999998
2010-09-17,1125.589966,26.343573,148.320007,6.12,101.376305,20.438126
2010-09-20,1142.709961,27.09552,151.300003,6.09,102.6222,20.608310999999997
2010-09-21,1139.780029,27.147177000000003,150.729996,6.17,102.770111,20.381393
2010-09-22,1134.280029,27.527927000000002,151.830002,6.26,103.229561,19.943785000000002
2010-09-23,1124.829956,27.639862,152.850006,6.4,102.528725,19.797916
2010-09-24,1148.670044,27.965115,160.729996,6.84,104.428703,20.081551
2010-09-27,1142.160034,27.854143,159.369995,7.02,104.849182,20.041035
