Date,S&P,ADBE,AMD,CAT,XTO,XYL
20100723,0.00818642,0.022488234,0.027221121,0.019081779,,
20100726,0.01113791,-0.00205511,0.031468628,0.009763185,,
20100727,-0.001049908,0.001712533,0.017199241,-0.011640488,,
20100728,-0.006946033,-0.01830451,-0.028414907,0.007775691,,
20100729,-0.004167292,0.000348939,-0.025382425,-0.004600566,,
20100730,6.35E-05,0.000696757,-0.037987474,0.005030327,,
20100802,0.021783528,0.030180939,0.021137031,0.018466441,,
20100803,-0.004807894,-0.016348918,-0.018470535,-0.009617096,,
20100804,0.006032878,0.019722232,0.001331114,0.010601604,,
20100805,-0.001269329,-0.008792541,-0.002663544,0.011741795,,
20100806,-0.003710916,-0.007158561,-0.006689324,-0.005574509,,
20100809,0.005468087,0.00987211,-0.00403513,0.007101723,,
20100810,-0.005985281,-0.011926843,-0.082854574,-0.009059917,,
20100811,-0.028583406,-0.032047065,-0.051061742,-0.038683657,,
20100812,-0.005393267,-0.006036181,0.012251641,-0.017766901,,
20100813,-0.00403169,-0.002496113,-0.012251747,0.007527596,,
20100816,0.000120452,-0.023479499,0.019833019,0.007033209,,
20100817,0.01211849,0.021513907,0.00150986,0.01808645,,
20100818,0.001481681,0.005173594,-0.0090912,0.00014299,,
20100819,-0.017080436,-0.014698496,-0.023095663,-0.006616843,,
20100820,-0.003669754,0.008271695,-0.02683691,-0.006225337,,
20100823,-0.004048491,-0.003588431,-0.017756722,-0.029773875,,
20100824,-0.014618768,0.003946203,-0.024733363,-0.027299257,,
20100825,0.003283945,-0.01624321,0.023103057,-0.005241714,,
20100826,-0.007714466,-0.003645637,-0.043339745,-0.011659711,,
20100827,0.01645071,0.02167734,0.035149939,0.030037329,,
20100830,-0.014828611,-0.006814164,-0.050600903,-0.021938908,,
20100831,0.000390718,-0.003244257,-0.029853206,0.010646128,,
20100901,0.029077736,0.040677344,0.026386786,0.045012562,,
20100902,0.009039853,0.019564364,0.029086846,0.005559517,,
20100903,0.013132393,0.002376175,0.02662343,0.022220291,,
20100907,-0.011537492,-0.010910301,-0.023257368,-0.005436752,,
20100908,0.006418059,0.004787522,-0.020374151,0.014810777,,
20100909,0.004820652,0.114327294,0.005132805,-0.001415001,,
20100910,0.004851545,-0.020289446,-0.008568606,0.008738706,,
20100913,0.011069127,0.001241229,0.061737414,0.013658299,,
20100914,-0.000713373,0.007262564,0.014457978,-0.00569217,,
20100915,0.003534883,0.008737715,-0.008005962,0.004168301,,
20100916,-0.00036441,0.002743234,-0.011317805,-0.001803626,,
20100917,0.000826514,-0.002133274,-0.004889936,0.01625615,,
20100920,0.015095288,0.010012705,-0.004914054,0.021227102,,
20100921,-0.002567314,-0.005144209,0.013212331,0.021702782,,
20100922,-0.004837173,-0.211148283,0.014318992,-0.002752785,,
20100923,-0.00836624,-0.009796833,0.022117593,0.001049449,,
20100924,0.020972916,0.017547144,0.066489741,0.044497153,,
20100927,-0.005683554,9.30E-05,0.025975692,-0.002385844,,
20100928,0.004838661,-0.022573884,-0.010022053,0.001632666,,
20100929,-0.002591113,-0.009173952,0.046389189,0.004008953,,
20100930,-0.003088486,0.004215104,-0.023628978,-0.016512585,,
20101001,0.004406714,0.004578503,-0.00847481,-0.005863155,,
