Date,S&P,AAPL,AMD,AMZN,C,CAT,CME
20120209,0.001473025,0.034008113,-0.001379952,-0.002699641,-0.016792203,-0.010666687,-0.005104003
20120210,-0.006910122,0.000506872,-0.026593493,0.003022428,-0.022077934,-0.009618106,0.028595231
20120213,0.006777023,0.018434044,0.033476361,0.032087641,-0.001367935,0.017299497,-0.002025049
20120214,-0.000939966,0.013556691,0.004106557,-0.001515147,-0.024631889,0.006574342,-0.003441917
20120215,-0.005397748,-0.02341398,-0.002735739,-0.036355941,-0.011285442,-0.016918311,0.002204568
20120216,0.010965366,0.009081637,0.038957217,-0.024918913,0.03073384,0.012627931,0.017091111
20120217,0.002346176,-0.000179016,-0.022652645,0.014181959,0.00639948,-8.80E-05,-0.005665016
20120221,0.000719664,0.025036944,-0.019048272,-0.001315865,0.013277463,0.009172801,-0.013354779
20120222,-0.003345698,-0.003522196,-0.019418321,-0.009260749,-0.030434466,0.007018314,-0.00667523
20120223,0.004262903,0.006508772,0.020790375,-0.009403071,0.010757925,0.003362341,0.012552882
20120224,0.001670841,0.011590569,0.023052244,0.0013411,-0.011067014,-0.001722483,0.002053889
20120227,0.001353642,0.006392524,0.001339103,-0.003355624,0.017770171,-0.003195099,-0.008966075
20120228,0.003350713,0.018187598,0.006670701,0.029091703,0.016564055,0.001123369,0.003513819
20120229,-0.004748243,0.013044549,-0.022865433,-0.022614798,-0.004790456,-0.013480454,-0.004515178
20120301,0.006139157,0.003735016,0.021535439,0.001946105,0.024019215,-0.0072059,0.000172985
20120302,-0.003251035,0.001303151,-0.006680263,-0.004118469,-0.000879387,-0.007968666,0.000206979
20120305,-0.003877201,-0.02229469,-0.053695124,0.005339718,-0.012393483,-0.021565881,-0.030074745
20120306,-0.015489506,-0.005453845,-0.0243388,0.004593434,-0.047424996,-0.038519439,-0.021909265
20120307,0.006876922,0.000810671,0.038383825,0.014690563,0.034274849,0.021941515,0.001017482
